[2026-09-21 17:29:11][19] ==================== 开始（保险 → /home/wangx/glioma_submission_backup）====================
[2026-09-21 17:29:11][19] 1/8 等待 fold1 续训完成（最长 14400s）…
[2026-09-21 17:39:12][19]     等待中… 600s（进度：3 epoch）
[2026-09-21 17:49:13][19]     等待中… 1200s（进度：3 epoch）
[2026-09-21 17:59:14][19]     等待中… 1800s（进度：4 epoch）
[2026-09-21 18:09:15][19]     等待中… 2400s（进度：5 epoch）
[2026-09-21 18:19:16][19]     等待中… 3000s（进度：6 epoch）
[2026-09-21 18:29:17][19]     等待中… 3600s（进度：6 epoch）
[2026-09-21 18:39:18][19]     等待中… 4200s（进度：7 epoch）
[2026-09-21 18:49:19][19]     等待中… 4800s（进度：8 epoch）
[2026-09-21 18:59:19][19]     等待中… 5400s（进度：9 epoch）
[2026-09-21 19:09:21][19]     等待中… 6000s（进度：9 epoch）
[2026-09-21 19:19:21][19]     等待中… 6600s（进度：10 epoch）
[2026-09-21 19:29:22][19]     等待中… 7200s（进度：11 epoch）
[2026-09-21 19:39:23][19]     等待中… 7800s（进度：11 epoch）
[2026-09-21 19:49:24][19]     等待中… 8400s（进度：12 epoch）
[2026-09-21 19:59:24][19]     等待中… 9000s（进度：13 epoch）
[2026-09-21 20:09:27][19]     等待中… 9600s（进度：14 epoch）
[2026-09-21 20:19:29][19]     等待中… 10200s（进度：15 epoch）
[2026-09-21 20:29:30][19]     等待中… 10800s（进度：15 epoch）
[2026-09-21 20:39:30][19]     等待中… 11400s（进度：16 epoch）
[2026-09-21 20:49:31][19]     等待中… 12000s（进度：17 epoch）
[2026-09-21 20:59:32][19]     等待中… 12600s（进度：18 epoch）
[2026-09-21 21:09:33][19]     等待中… 13200s（进度：19 epoch）
[2026-09-21 21:19:34][19]     等待中… 13800s（进度：19 epoch）
[2026-09-21 21:29:34][19]     等待中… 14400s（进度：20 epoch）
[2026-09-21 21:29:34][19] ✗ 等待 fold1 超时（14400s）
