[cache] 612 例 → /dev/shm/glioma4_cache（10 进程）
[cache] 25/612  已建 25 跳过 0 失败 0  (26s, 1.03s/例)
[cache] 50/612  已建 50 跳过 0 失败 0  (37s, 0.75s/例)
[cache] 75/612  已建 75 跳过 0 失败 0  (49s, 0.65s/例)
[cache] 100/612  已建 100 跳过 0 失败 0  (61s, 0.61s/例)
[cache] 125/612  已建 125 跳过 0 失败 0  (83s, 0.66s/例)
[cache] 150/612  已建 150 跳过 0 失败 0  (95s, 0.63s/例)
[cache] 175/612  已建 175 跳过 0 失败 0  (107s, 0.61s/例)
[cache] 200/612  已建 200 跳过 0 失败 0  (121s, 0.61s/例)
[cache] 225/612  已建 225 跳过 0 失败 0  (140s, 0.62s/例)
[cache] 250/612  已建 250 跳过 0 失败 0  (152s, 0.61s/例)
[cache] 275/612  已建 275 跳过 0 失败 0  (167s, 0.61s/例)
[cache] 300/612  已建 300 跳过 0 失败 0  (183s, 0.61s/例)
[cache] 325/612  已建 325 跳过 0 失败 0  (196s, 0.60s/例)
[cache] 350/612  已建 350 跳过 0 失败 0  (208s, 0.60s/例)
[cache] 375/612  已建 375 跳过 0 失败 0  (228s, 0.61s/例)
[cache] 400/612  已建 400 跳过 0 失败 0  (240s, 0.60s/例)
[cache] 425/612  已建 425 跳过 0 失败 0  (254s, 0.60s/例)
[cache] 450/612  已建 450 跳过 0 失败 0  (268s, 0.59s/例)
[cache] 475/612  已建 475 跳过 0 失败 0  (286s, 0.60s/例)
[cache] 500/612  已建 500 跳过 0 失败 0  (299s, 0.60s/例)
[cache] 525/612  已建 525 跳过 0 失败 0  (313s, 0.60s/例)
[cache] 550/612  已建 550 跳过 0 失败 0  (328s, 0.60s/例)
[cache] 575/612  已建 575 跳过 0 失败 0  (342s, 0.60s/例)
[cache] 600/612  已建 600 跳过 0 失败 0  (356s, 0.59s/例)
[cache] 完成：新建 612，跳过 0，失败 0
