[trainer] 断点续训：epoch 78/100
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4_fold1 fold=1 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4_fold1] ep78 step21/249 loss=0.2901 {'ds': 0.126, 'seg': 0.207, 'cls': 0.332, 'special': 0.0, 'embed': 0.003}
[g4_fold1] ep78 step41/249 loss=0.6546 {'ds': 0.375, 'seg': 0.529, 'cls': 0.503, 'special': 0.0, 'embed': 0.0}
[g4_fold1] ep78 step61/249 loss=0.2853 {'ds': 0.151, 'seg': 0.201, 'cls': 0.337, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep78 step81/249 loss=0.2608 {'ds': 0.124, 'seg': 0.175, 'cls': 0.343, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep78 step101/249 loss=0.1547 {'ds': 0.081, 'seg': 0.105, 'cls': 0.198, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep78 step121/249 loss=0.2125 {'ds': 0.085, 'seg': 0.121, 'cls': 0.365, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep78 step141/249 loss=0.2267 {'ds': 0.116, 'seg': 0.158, 'cls': 0.275, 'special': 0.0, 'embed': 0.0}
[g4_fold1] ep78 step161/249 loss=0.2736 {'ds': 0.178, 'seg': 0.207, 'cls': 0.264, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep78 step181/249 loss=0.4938 {'ds': 0.281, 'seg': 0.401, 'cls': 0.372, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep78 step201/249 loss=0.1439 {'ds': 0.063, 'seg': 0.081, 'cls': 0.245, 'special': 0.002, 'embed': 0.013}
[g4_fold1] ep78 step221/249 loss=0.5824 {'ds': 0.336, 'seg': 0.468, 'cls': 0.459, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep78 step241/249 loss=0.4317 {'ds': 0.196, 'seg': 0.259, 'cls': 0.689, 'special': 0.0, 'embed': 0.005}
[g4_fold1] epoch 78 loss=0.2301 dice_core=0.9139 dice_peri=0.9548 thr=[0.35, 0.55] (868s)
[g4_fold1] ep79 step21/249 loss=0.1560 {'ds': 0.08, 'seg': 0.102, 'cls': 0.215, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep79 step41/249 loss=0.2037 {'ds': 0.097, 'seg': 0.125, 'cls': 0.313, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep79 step61/249 loss=0.1898 {'ds': 0.093, 'seg': 0.121, 'cls': 0.276, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep79 step81/249 loss=0.6034 {'ds': 0.394, 'seg': 0.532, 'cls': 0.285, 'special': 0.0, 'embed': 0.0}
[g4_fold1] ep79 step101/249 loss=0.2233 {'ds': 0.092, 'seg': 0.125, 'cls': 0.395, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep79 step121/249 loss=0.7732 {'ds': 0.331, 'seg': 0.711, 'cls': 0.25, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep79 step141/249 loss=0.1666 {'ds': 0.096, 'seg': 0.119, 'cls': 0.184, 'special': 0.0, 'embed': 0.015}
[g4_fold1] ep79 step161/249 loss=0.2905 {'ds': 0.151, 'seg': 0.2, 'cls': 0.363, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep79 step181/249 loss=0.1749 {'ds': 0.094, 'seg': 0.125, 'cls': 0.198, 'special': 0.0, 'embed': 0.005}
[g4_fold1] ep79 step201/249 loss=0.1711 {'ds': 0.046, 'seg': 0.06, 'cls': 0.441, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep79 step221/249 loss=0.5368 {'ds': 0.218, 'seg': 0.447, 'cls': 0.357, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep79 step241/249 loss=0.1942 {'ds': 0.084, 'seg': 0.123, 'cls': 0.285, 'special': 0.0, 'embed': 0.001}
[g4_fold1] epoch 79 loss=0.2318 dice_core=0.9142 dice_peri=0.9548 thr=[0.35, 0.55] (756s)
[g4_fold1] ep80 step21/249 loss=0.3422 {'ds': 0.178, 'seg': 0.239, 'cls': 0.411, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep80 step41/249 loss=0.2940 {'ds': 0.179, 'seg': 0.241, 'cls': 0.21, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep80 step61/249 loss=0.1550 {'ds': 0.075, 'seg': 0.1, 'cls': 0.217, 'special': 0.0, 'embed': 0.007}
[g4_fold1] ep80 step81/249 loss=0.2821 {'ds': 0.154, 'seg': 0.196, 'cls': 0.339, 'special': 0.0, 'embed': 0.025}
[g4_fold1] ep80 step101/249 loss=0.1990 {'ds': 0.093, 'seg': 0.129, 'cls': 0.279, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep80 step121/249 loss=0.3447 {'ds': 0.16, 'seg': 0.201, 'cls': 0.572, 'special': 0.0, 'embed': 0.012}
[g4_fold1] ep80 step141/249 loss=0.2032 {'ds': 0.092, 'seg': 0.126, 'cls': 0.306, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep80 step161/249 loss=0.3254 {'ds': 0.141, 'seg': 0.193, 'cls': 0.529, 'special': 0.0, 'embed': 0.004}
[g4_fold1] ep80 step181/249 loss=0.1958 {'ds': 0.07, 'seg': 0.099, 'cls': 0.388, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep80 step201/249 loss=0.5718 {'ds': 0.33, 'seg': 0.454, 'cls': 0.47, 'special': 0.0, 'embed': 0.005}
[g4_fold1] ep80 step221/249 loss=0.1799 {'ds': 0.085, 'seg': 0.116, 'cls': 0.254, 'special': 0.0, 'embed': 0.007}
[g4_fold1] ep80 step241/249 loss=0.2650 {'ds': 0.13, 'seg': 0.174, 'cls': 0.357, 'special': 0.0, 'embed': 0.02}
[g4_fold1] epoch 80 loss=0.2579 dice_core=0.9144 dice_peri=0.9549 thr=[0.35, 0.55] (746s)
[g4_fold1] ep81 step21/249 loss=0.1717 {'ds': 0.078, 'seg': 0.104, 'cls': 0.268, 'special': 0.0, 'embed': 0.01}
[g4_fold1] ep81 step41/249 loss=0.2310 {'ds': 0.101, 'seg': 0.132, 'cls': 0.397, 'special': 0.0, 'embed': 0.002}
